model,data,fraction,roc,ap
KNN,satimage-2,0.89,0.9482,0.3927
KNN,satimage-2,0.9,0.947,0.3896
KNN,satimage-2,0.91,0.947,0.3896
KNN,satimage-2,0.92,0.9413,0.3879
KNN,satimage-2,0.93,0.9413,0.3868
KNN,satimage-2,0.9400000000000001,0.9413,0.3868
KNN,satimage-2,0.9500000000000001,0.9408,0.3843
KNN,satimage-2,0.9600000000000001,0.9408,0.3843
KNN,satimage-2,0.97,0.9399,0.3831
KNN,satimage-2,0.98,0.9399,0.3831
KNN,satimage-2,0.99,0.9354,0.3798
KNN,satimage-2,1.0,0.9347,0.3728
IFSKNN,satimage-2,0.01,0.9986,0.9503
IFSKNN,satimage-2,0.02,0.9988,0.9674
IFSKNN,satimage-2,0.03,0.9988,0.9674
IFSKNN,satimage-2,0.04,0.9988,0.9665
IFSKNN,satimage-2,0.05,0.9988,0.9665
IFSKNN,satimage-2,0.060000000000000005,0.9989,0.9687
IFSKNN,satimage-2,0.06999999999999999,0.9989,0.9687
IFSKNN,satimage-2,0.08,0.9983,0.966
IFSKNN,satimage-2,0.09,0.9983,0.9648
IFSKNN,satimage-2,0.09999999999999999,0.9983,0.9648
IFSKNN,satimage-2,0.11,0.9985,0.9656
IFSKNN,satimage-2,0.12,0.9985,0.9656
IFSKNN,satimage-2,0.13,0.9987,0.9656
IFSKNN,satimage-2,0.14,0.9987,0.9656
IFSKNN,satimage-2,0.15000000000000002,0.9988,0.9658
IFSKNN,satimage-2,0.16,0.9989,0.9665
IFSKNN,satimage-2,0.17,0.9989,0.9665
IFSKNN,satimage-2,0.18000000000000002,0.9987,0.9664
IFSKNN,satimage-2,0.19,0.9987,0.9664
IFSKNN,satimage-2,0.2,0.9986,0.9653
IFSKNN,satimage-2,0.21000000000000002,0.9986,0.9653
IFSKNN,satimage-2,0.22,0.9983,0.9655
IFSKNN,satimage-2,0.23,0.9987,0.9674
IFSKNN,satimage-2,0.24000000000000002,0.9987,0.9674
IFSKNN,satimage-2,0.25,0.9984,0.9663
IFSKNN,satimage-2,0.26,0.9984,0.9663
IFSKNN,satimage-2,0.27,0.9988,0.9664
IFSKNN,satimage-2,0.28,0.9988,0.9664
IFSKNN,satimage-2,0.29000000000000004,0.9986,0.9658
IFSKNN,satimage-2,0.3,0.9985,0.9651
IFSKNN,satimage-2,0.31,0.9985,0.9651
IFSKNN,satimage-2,0.32,0.9987,0.9674
IFSKNN,satimage-2,0.33,0.9987,0.9674
IFSKNN,satimage-2,0.34,0.9985,0.9652
IFSKNN,satimage-2,0.35000000000000003,0.9985,0.9652
IFSKNN,satimage-2,0.36000000000000004,0.9987,0.9669
IFSKNN,satimage-2,0.37,0.9985,0.9655
IFSKNN,satimage-2,0.38,0.9985,0.9655
IFSKNN,satimage-2,0.39,0.9985,0.9653
