model,data,fraction,roc,ap
OCSVM,pendigits,0.72,0.9424,0.2768
OCSVM,pendigits,0.73,0.9421,0.2762
OCSVM,pendigits,0.74,0.942,0.2748
OCSVM,pendigits,0.75,0.9417,0.2741
OCSVM,pendigits,0.76,0.9411,0.2727
OCSVM,pendigits,0.77,0.9408,0.2714
OCSVM,pendigits,0.78,0.9404,0.2707
OCSVM,pendigits,0.79,0.94,0.2699
OCSVM,pendigits,0.8,0.9393,0.2687
OCSVM,pendigits,0.81,0.9389,0.2677
OCSVM,pendigits,0.8200000000000001,0.9383,0.2669
OCSVM,pendigits,0.8300000000000001,0.9379,0.2662
OCSVM,pendigits,0.8400000000000001,0.9372,0.2646
OCSVM,pendigits,0.85,0.9372,0.2644
OCSVM,pendigits,0.86,0.9371,0.264
OCSVM,pendigits,0.87,0.9368,0.2637
OCSVM,pendigits,0.88,0.936,0.2616
OCSVM,pendigits,0.89,0.9359,0.2613
OCSVM,pendigits,0.9,0.9356,0.2603
OCSVM,pendigits,0.91,0.9352,0.2593
OCSVM,pendigits,0.92,0.9346,0.258
OCSVM,pendigits,0.93,0.9345,0.2569
OCSVM,pendigits,0.9400000000000001,0.9341,0.2558
OCSVM,pendigits,0.9500000000000001,0.9339,0.2553
OCSVM,pendigits,0.9600000000000001,0.9329,0.2535
OCSVM,pendigits,0.97,0.9324,0.2528
OCSVM,pendigits,0.98,0.9318,0.252
OCSVM,pendigits,0.99,0.9315,0.251
OCSVM,pendigits,1.0,0.9307,0.2492
